Site_code,Time,Site,RCVA_adult,RCVA_juvenile,n_RCVA_adult,n_RCVA_juvenile,RHD1_adult,RHD1_juvenile,n_RHD1_adult,n_RHD1_juvenile,RHD2_adult,RHD2_juvenile,n_RHD2_adult,n_RHD2_juvenile
1,1,Avalon,44,8,53,13,29,5,52,13,0,0,52,13
1,2,Avalon,16,2,16,2,6,1,16,2,2,0,16,2
1,3,Avalon,5,12,5,14,2,5,5,14,0,1,5,14
1,4,Avalon,8,0,15,4,8,0,15,4,4,1,15,4
1,5,Avalon,9,0,18,1,0,0,0,0,5,0,18,1
1,6,Avalon,8,0,20,0,9,0,20,0,6,0,20,0
1,7,Avalon,8,1,10,10,4,3,10,10,4,2,10,10
1,8,Avalon,2,1,11,8,2,0,11,8,6,4,11,8
1,9,Avalon,4,1,18,1,4,1,18,1,6,0,18,1
1,10,Avalon,9,1,16,3,10,0,16,3,2,0,16,3
1,11,Avalon,8,5,9,9,7,6,9,9,1,1,9,10
1,12,Avalon,8,0,15,5,0,0,15,5,4,3,15,5
2,2,Blowering,11,2,17,2,10,2,17,2,2,0,17,2
2,3,Blowering,16,0,17,1,12,0,17,1,1,0,17,1
2,4,Blowering,11,0,14,3,12,0,14,3,0,0,14,3
2,5,Blowering,1,0,3,0,2,0,3,0,0,0,3,0
2,6,Blowering,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,7,Blowering,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,8,Blowering,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,9,Blowering,5,0,12,1,6,0,12,1,3,0,12,1
2,10,Blowering,2,1,9,1,7,1,9,1,2,0,9,1
2,11,Blowering,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,12,Blowering,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,13,Blowering,2,0,6,2,2,0,6,2,1,1,6,2
3,1,Boboyan,58,6,66,13,33,9,66,13,0,0,66,13
3,2,Boboyan,15,1,16,4,9,1,16,4,2,0,16,4
3,3,Boboyan,7,0,9,0,3,0,9,0,0,0,9,0
3,4,Boboyan,2,0,5,0,1,0,5,0,1,0,5,0
3,5,Boboyan,8,0,11,0,10,0,11,0,0,0,11,0
3,6,Boboyan,8,0,13,0,8,0,13,0,3,0,13,0
3,7,Boboyan,10,0,15,0,7,0,15,0,2,0,15,0
3,8,Boboyan,3,0,7,0,2,0,7,0,1,0,7,0
3,9,Boboyan,1,0,4,0,1,0,4,0,2,0,4,0
3,10,Boboyan,1,1,4,1,3,1,4,1,0,0,4,1
4,1,Burrabogie,23,1,38,2,22,2,38,2,0,0,38,2
4,2,Burrabogie,2,3,3,13,1,1,3,13,2,8,3,13
4,3,Burrabogie,1,0,13,7,1,0,13,7,6,2,13,6
4,4,Burrabogie,6,0,17,0,6,0,17,0,8,0,17,0
4,5,Burrabogie,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,Burrabogie,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,7,Burrabogie,1,1,12,7,7,4,12,7,2,0,12,7
4,8,Burrabogie,1,0,16,0,9,0,16,0,4,0,16,0
4,9,Burrabogie,0,0,16,2,11,0,16,2,2,0,16,2
4,10,Burrabogie,2,5,3,9,2,5,3,9,0,0,3,9
4,11,Burrabogie,10,0,19,0,2,0,19,0,6,0,19,0
5,1,Coorong,53,1,312,58,131,20,310,58,0,0,119,19
5,2,Coorong,4,0,17,0,13,0,17,0,3,0,17,0
5,3,Coorong,5,0,13,2,10,1,13,2,1,0,13,2
5,4,Coorong,4,1,11,8,4,4,11,8,5,0,11,8
5,5,Coorong,1,0,17,1,1,0,17,1,5,0,17,1
5,6,Coorong,0,0,9,4,3,2,9,4,2,0,9,4
5,7,Coorong,1,0,9,3,3,0,9,3,3,2,9,3
5,8,Coorong,0,0,10,3,3,1,10,3,2,0,10,3
6,1,Drummonds,1,0,36,13,2,2,26,10,0,1,39,16
6,2,Drummonds,0,0,1,1,1,0,1,1,0,1,1,1
6,3,Drummonds,0,0,7,1,6,0,7,1,1,0,7,1
6,4,Drummonds,1,0,7,0,0,0,7,0,4,0,7,0
6,5,Drummonds,0,0,6,0,1,0,6,0,0,0,6,0
6,6,Drummonds,0,0,1,1,1,0,1,1,0,0,1,1
6,7,Drummonds,0,0,4,0,0,0,4,0,0,0,4,0
7,1,Eurolie,14,0,20,0,8,0,20,0,0,0,20,0
7,2,Eurolie,7,0,15,1,14,0,15,1,0,1,15,1
7,3,Eurolie,2,0,10,7,9,1,10,7,1,2,10,7
7,4,Eurolie,0,0,6,3,3,2,6,3,2,1,6,3
7,5,Eurolie,4,0,17,0,5,0,17,0,3,0,17,0
7,6,Eurolie,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,7,Eurolie,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,8,Eurolie,1,0,12,5,3,1,12,5,3,0,12,5
7,9,Eurolie,0,0,18,0,6,0,18,0,2,0,18,0
7,10,Eurolie,1,0,8,8,6,1,8,8,0,0,8,8
7,11,Eurolie,3,2,3,9,1,6,3,9,2,2,3,9
7,12,Eurolie,8,0,18,2,10,1,18,2,3,0,18,2
8,2,Gudgenby,16,3,16,3,2,1,16,3,2,0,16,3
8,3,Gudgenby,16,0,20,0,11,0,20,0,1,0,20,0
