Site,Quarter,Season_code,period,time_ind,RCVA,n_RCVA,RHD1,n_RHD1,RHD2,n_RHD2,Site_code,rhdv2,K5_site,K5_rel
Avalon,3,0,2014.3,14,7,10,6,9,0,9,1,0,2,0
Avalon,4,1,2014.4,15,18,20,7,20,0,20,1,0,2,0
Avalon,1,1,2015.1,16,15,20,13,20,0,20,1,0,2,0
Avalon,2,0,2015.2,17,16,20,10,20,0,20,1,0,2,0
Avalon,3,0,2015.3,18,18,18,7,18,2,18,1,1,2,0
Avalon,4,1,2015.4,19,17,19,7,19,1,19,1,1,2,0
Avalon,1,1,2016.1,20,8,19,8,19,5,19,1,1,2,0
Avalon,2,0,2016.2,21,9,19,0,0,5,19,1,1,2,0
Avalon,3,0,2016.3,22,8,20,9,20,6,20,1,1,2,0
Avalon,4,1,2016.4,23,9,20,7,20,6,20,1,1,2,0
Avalon,1,1,2017.1,24,3,19,2,19,10,19,1,1,2,0
Avalon,2,0,2017.2,25,5,20,5,20,7,20,1,1,2,1
Avalon,3,0,2017.3,26,10,20,10,20,2,20,1,1,2,1
Avalon,4,1,2017.4,27,13,18,13,18,2,19,1,1,2,1
Avalon,1,1,2018.1,28,8,20,0,20,7,20,1,1,2,1
Blowering,2,0,2015.2,17,13,19,12,19,2,19,2,1,2,0
Blowering,3,0,2015.3,18,16,18,12,18,1,18,2,1,2,0
Blowering,4,1,2015.4,19,11,17,12,17,0,17,2,1,2,0
Blowering,1,1,2016.1,20,1,5,2,5,1,4,2,1,2,0
Blowering,2,0,2016.2,21,0,0,0,0,0,0,2,1,2,0
Blowering,3,0,2016.3,22,0,0,0,0,0,0,2,1,2,0
Blowering,4,1,2016.4,23,0,0,0,0,0,0,2,1,2,0
Blowering,1,1,2017.1,24,6,14,7,14,3,14,2,1,2,0
Blowering,2,0,2017.2,25,3,10,8,10,2,10,2,1,2,1
Blowering,3,0,2017.3,26,0,0,0,0,0,0,2,1,2,1
Blowering,4,1,2017.4,27,2,7,6,7,0,7,2,1,2,1
Blowering,1,1,2018.1,28,2,8,2,8,2,8,2,1,2,1
Boboyan,1,1,2015.1,16,15,20,11,20,0,20,3,0,2,0
Boboyan,2,0,2015.2,17,15,20,12,20,0,20,3,0,2,0
Boboyan,3,0,2015.3,18,18,20,10,20,0,20,3,0,2,0
Boboyan,4,1,2015.4,19,16,20,10,20,0,20,3,0,2,0
Boboyan,1,1,2016.1,20,16,20,10,20,2,20,3,1,2,0
Boboyan,2,0,2016.2,21,7,10,4,10,0,10,3,1,2,0
Boboyan,3,0,2016.3,22,2,5,1,5,1,5,3,1,2,0
Boboyan,4,1,2016.4,23,8,11,10,11,0,11,3,1,2,0
Boboyan,1,1,2017.1,24,8,13,8,13,3,13,3,1,2,0
Boboyan,2,0,2017.2,25,10,15,7,15,2,15,3,1,2,1
Boboyan,3,0,2017.3,26,3,7,2,7,1,7,3,1,2,1
Boboyan,4,1,2017.4,27,1,4,1,4,2,4,3,1,2,1
Boboyan,1,1,2018.1,28,2,5,4,5,0,5,3,1,2,1
Burrabogie,2,0,2015.2,17,11,20,5,20,0,20,4,0,1,0
Burrabogie,3,0,2015.3,18,13,20,19,20,0,20,4,0,1,0
Burrabogie,4,1,2015.4,19,5,17,2,17,10,17,4,1,1,0
Burrabogie,1,1,2016.1,20,1,20,1,20,8,19,4,1,1,0
Burrabogie,2,0,2016.2,21,6,20,8,20,8,20,4,1,1,0
Burrabogie,3,0,2016.3,22,0,0,0,0,0,0,4,1,1,0
Burrabogie,4,1,2016.4,23,0,0,0,0,0,0,4,1,1,0
Burrabogie,1,1,2017.1,24,3,20,12,20,2,20,4,1,1,0
Burrabogie,2,0,2017.2,25,1,17,9,17,4,17,4,1,1,1
Burrabogie,3,0,2017.3,26,0,19,12,19,2,19,4,1,1,1
Burrabogie,4,1,2017.4,27,10,15,8,15,2,15,4,1,1,1
Burrabogie,1,1,2018.1,28,10,19,2,19,6,19,4,1,1,1
Coorong,2,0,2011.2,1,9,20,7,18,0,18,5,0,1,0
Coorong,3,0,2011.3,2,7,20,14,20,0,20,5,0,1,0
Coorong,4,1,2011.4,3,7,20,13,20,0,20,5,0,1,0
Coorong,1,1,2012.1,4,6,20,3,20,0,20,5,0,1,0
Coorong,2,0,2012.2,5,3,20,6,20,0,20,5,0,1,0
Coorong,3,0,2012.3,6,3,20,3,20,0,20,5,0,1,0
Coorong,4,1,2012.4,7,6,20,9,20,0,20,5,0,1,0
Coorong,1,1,2013.1,8,2,20,8,20,0,20,5,0,1,0
Coorong,2,0,2013.2,9,0,0,0,0,0,0,5,0,1,0
Coorong,3,0,2013.3,10,1,20,5,20,0,20,5,0,1,0
Coorong,4,1,2013.4,11,2,20,11,20,0,20,5,0,1,0
