State,Site,Code,Year,Season,Night1,Night2,Night3,Date,Distance,Quarter,Season_code,period,time_ind,Site_code,Pair,rhdv2,K5_site,K5_rel,MaxN
VIC,Avalon,AVA,2014,winter,237,189,217,29/07/2014,8,3,1,2014.3,14,1,4,0,2,0,237
VIC,Avalon,AVA,2014,spring,342,374,311,24/10/2014,8,4,1,2014.4,15,1,4,0,2,0,374
VIC,Avalon,AVA,2015,summer,357,333,324,18/01/2015,6.5,1,0,2015.1,16,1,4,0,2,0,357
VIC,Avalon,AVA,2015,autumn,179,99,118,16/04/2015,6.5,2,0,2015.2,17,1,4,0,2,0,179
VIC,Avalon,AVA,2015,winter,164,186,231,7/07/2015,6.5,3,1,2015.3,18,1,4,1,2,0,231
VIC,Avalon,AVA,2015,spring,355,206,263,12/10/2015,6.5,4,1,2015.4,19,1,4,1,2,0,355
VIC,Avalon,AVA,2016,summer,159,166,187,19/01/2016,6.5,1,0,2016.1,20,1,4,1,2,0,187
VIC,Avalon,AVA,2016,autumn,116,131,102,24/04/2016,6.5,2,0,2016.2,21,1,4,1,2,0,131
VIC,Avalon,AVA,2016,winter,203,173,183,26/07/2016,6.5,3,1,2016.3,22,1,4,1,2,0,203
VIC,Avalon,AVA,2016,spring,85,98,64,11/10/2016,5.5,4,1,2016.4,23,1,4,1,2,0,98
VIC,Avalon,AVA,2017,summer,88,108,111,3/01/2017,6.5,1,0,2017.1,24,1,4,1,2,0,111
VIC,Avalon,AVA,2017,autumn,187,143,167,3/04/2017,6.5,2,0,2017.2,25,1,4,1,2,1,187
VIC,Avalon,AVA,2017,winter,247,243,230,18/07/2017,6.5,3,1,2017.3,26,1,4,1,2,1,247
VIC,Avalon,AVA,2017,spring,357,300,135,13/11/2017,7,4,1,2017.4,27,1,4,1,2,1,357
VIC,Avalon,AVA,2018,summer,219,245,228,1/02/2018,7,1,0,2018.1,28,1,4,1,2,1,245
NSW,Blowering,BLR,2015,autumn,25,16,22,4/05/2015,1,2,0,2015.2,17,2,8,1,2,0,25
NSW,Blowering,BLR,2015,winter,10,7,10,6/07/2015,1,3,1,2015.3,18,2,8,1,2,0,10
NSW,Blowering,BLR,2015,spring,10,9,11,12/10/2015,1,4,1,2015.4,19,2,8,1,2,0,11
NSW,Blowering,BLR,2016,summer,7,4,6,25/01/2016,1,1,0,2016.1,20,2,8,1,2,0,7
NSW,Blowering,BLR,2016,autumn,NA,NA,NA,NA,1,2,0,2016.2,21,2,8,1,2,0,NA
NSW,Blowering,BLR,2016,winter,NA,NA,NA,NA,1,3,1,2016.3,22,2,8,1,2,0,NA
NSW,Blowering,BLR,2016,spring,NA,NA,NA,NA,1,4,1,2016.4,23,2,8,1,2,0,NA
NSW,Blowering,BLR,2017,summer,12,8,9,25/01/2017,1,1,0,2017.1,24,2,8,1,2,0,12
NSW,Blowering,BLR,2017,autumn,15,11,20,11/04/2017,1,2,0,2017.2,25,2,8,1,2,1,20
NSW,Blowering,BLR,2017,winter,NA,NA,NA,NA,1,3,1,2017.3,26,2,8,1,2,1,NA
NSW,Blowering,BLR,2017,spring,5,7,3,12/12/2017,1,4,1,2017.4,27,2,8,1,2,1,7
NSW,Blowering,BLR,2018,summer,NA,NA,NA,NA,1,1,0,2018.1,28,2,8,1,2,1,NA
ACT,Boboyan,BOB,2015,autumn,52,64,NA,24/04/2015,5.8,2,0,2015.2,17,3,9,0,2,0,64
ACT,Boboyan,BOB,2015,winter,59,95,74,14/07/2015,5.8,3,1,2015.3,18,3,9,0,2,0,95
ACT,Boboyan,BOB,2015,spring,20,41,43,13/10/2015,5.8,4,1,2015.4,19,3,9,0,2,0,43
ACT,Boboyan,BOB,2016,summer,27,13,17,12/01/2016,5.8,1,0,2016.1,20,3,9,1,2,0,27
ACT,Boboyan,BOB,2016,autumn,33,29,14,NA,5.8,2,0,2016.2,21,3,9,1,2,0,33
ACT,Boboyan,BOB,2016,winter,NA,NA,NA,22/08/2016,5.8,3,1,2016.3,22,3,9,1,2,0,NA
ACT,Boboyan,BOB,2016,spring,3,7,3,16/05/2016,5.8,4,1,2016.4,23,3,9,1,2,0,7
ACT,Boboyan,BOB,2017,summer,13,12,NA,1/02/2017,5.8,1,0,2017.1,24,3,9,1,2,0,13
ACT,Boboyan,BOB,2017,autumn,3,10,12,1/05/2017,5.8,2,0,2017.2,25,3,9,1,2,1,12
ACT,Boboyan,BOB,2017,winter,13,6,20,24/07/2017,5.8,3,1,2017.3,26,3,9,1,2,1,20
ACT,Boboyan,BOB,2017,spring,13,12,13,23/10/2017,5.8,4,1,2017.4,27,3,9,1,2,1,13
ACT,Boboyan,BOB,2018,summer,10,9,8,12/02/2018,5.8,1,0,2018.1,28,3,9,1,2,1,10
NSW,Burrabogie,BUR,2015,autumn,11,18,18,27/04/2015,1,2,0,2015.2,17,4,7,0,1,0,18
NSW,Burrabogie,BUR,2015,winter,28,22,20,3/08/2015,2,3,1,2015.3,18,4,7,0,1,0,28
NSW,Burrabogie,BUR,2015,spring,36,21,30,12/10/2015,2,4,1,2015.4,19,4,7,1,1,0,36
NSW,Burrabogie,BUR,2016,summer,66,42,61,1/02/2016,2,1,0,2016.1,20,4,7,1,1,0,66
NSW,Burrabogie,BUR,2016,autumn,35,26,33,18/04/2016,2,2,0,2016.2,21,4,7,1,1,0,35
NSW,Burrabogie,BUR,2016,winter,93,91,120,3/07/2017,2,3,1,2016.3,22,4,7,1,1,0,120
NSW,Burrabogie,BUR,2016,spring,96,32,56,10/10/2017,2,4,1,2016.4,23,4,7,1,1,0,96
NSW,Burrabogie,BUR,2017,summer,14,28,27,31/01/2017,2,1,0,2017.1,24,4,7,1,1,0,28
NSW,Burrabogie,BUR,2017,autumn,30,19,15,10/04/2017,2,2,0,2017.2,25,4,7,1,1,1,30
NSW,Burrabogie,BUR,2017,winter,93,91,120,3/07/2017,2,3,1,2017.3,26,4,7,1,1,1,120
NSW,Burrabogie,BUR,2017,spring,96,32,56,9/10/2017,2,4,1,2017.4,27,4,7,1,1,1,96
NSW,Burrabogie,BUR,2018,summer,43,45,51,22/01/2018,2,1,0,2018.1,28,4,7,1,1,1,51
SA,Coorong,SCK,2011,autumn,118,112,88,7/04/2011,9.7,2,0,2011.2,1,5,2,0,1,0,118
SA,Coorong,SCK,2011,winter,108,103,92,12/07/2011,9.7,3,1,2011.3,2,5,2,0,1,0,108
SA,Coorong,SCK,2011,spring,67,39,34,11/10/2011,9.7,4,1,2011.4,3,5,2,0,1,0,67
SA,Coorong,SCK,2012,summer,102,97,108,3/02/2012,9.7,1,0,2012.1,4,5,2,0,1,0,108
SA,Coorong,SCK,2012,autumn,87,131,96,5/05/2012,9.7,2,0,2012.2,5,5,2,0,1,0,131
SA,Coorong,SCK,2012,winter,87,91,52,17/07/2012,9.7,3,1,2012.3,6,5,2,0,1,0,91
SA,Coorong,SCK,2012,spring,31,14,NA,7/11/2012,9.7,4,1,2012.4,7,5,2,0,1,0,31
